bigram,attack,normal,z
rt_sigprocmask → rseq,0,649,-4.938697770068904
poll → poll,0,638,-4.926591173895946
sendmmsg → sendto,0,626,-4.913143309089083
rt_sigaction → set_robust_list,0,621,-4.907463697643962
set_robust_list → alarm,0,621,-4.907463697643962
wait4 → pipe,0,607,-4.891313832841136
poll → socket,0,603,-4.886631050415281
read → rt_sigprocmask,0,600,-4.8830985092263814
lseek → write,0,591,-4.872393801105457
rt_sigprocmask → munmap,0,590,-4.871194328553038
newfstatat → readlink,0,585,-4.865166269630227
futex → tgkill,0,585,-4.865166269630227
socket → poll,0,580,-4.859086405338397
getrandom → newfstatat,0,563,-4.838015079994247
ioctl → brk,17,75,-4.823137240002263
exit → exit_group,0,551,-4.822754060546334
set_tid_address → set_robust_list,0,548,-4.818886807757775
rt_sigprocmask → prlimit64,0,548,-4.818886807757775
munmap → set_tid_address,0,531,-4.796563869269303
rseq → rt_sigprocmask,0,531,-4.796563869269303
recvmsg → sendto,1,92,-4.786141845122958
madvise → mprotect,0,517,-4.777636225540292
prlimit64 → mmap,0,509,-4.766588643898523
openat → futex,0,505,-4.760999481634701
close → recvmsg,1,90,-4.7587457236603985
newfstatat → getrandom,0,501,-4.755365813808754
recvmsg → newfstatat,0,501,-4.755365813808754
recvmsg → socket,0,471,-4.7116196417566885
rt_sigprocmask → write,0,465,-4.702536200304174
rt_sigaction → setpgid,0,465,-4.702536200304174
close → readlink,0,464,-4.701010890690703
poll → read,0,462,-4.697950370959966
brk → socket,29,94,-4.655638993363018
close → mprotect,0,428,-4.643787644226963
poll → dup2,0,423,-4.6354609398006374
exit → poll,0,421,-4.632102625717499
prlimit64 → rt_sigaction,0,419,-4.6287282960346605
poll → setsockopt,0,417,-4.625337797309205
sendmmsg → recvfrom,1,78,-4.580245332307985
setsockopt → poll,0,389,-4.576081586557956
access → newfstatat,0,388,-4.574257412602756
exit → munmap,0,383,-4.565065328936185
munmap → clone,0,382,-4.563212495741301
poll → exit_group,0,374,-4.548212539487809
munmap → mprotect,0,374,-4.548212539487809
fcntl → brk,0,368,-4.536750149352892
alarm → prlimit64,0,365,-4.530948566547798
read → kill,0,356,-4.513252849845957
symlink → getpid,4,49,-4.499855770606308
read → poll,0,329,-4.457344893650679
brk → rt_sigprocmask,0,328,-4.4551869499129975
rt_sigaction → write,0,324,-4.4464887644433295
connect → exit,0,323,-4.444297410199391
rt_sigreturn → wait4,0,317,-4.431004848441484
getrandom → getrandom,1,69,-4.427138686566566
fcntl → alarm,0,314,-4.4242637530068185
rt_sigaction → wait4,0,314,-4.4242637530068185
madvise → connect,0,308,-4.410585817107173
setsockopt → madvise,0,307,-4.408280237662753
kill → set_robust_list,0,305,-4.4036464226083565
mprotect → exit,0,301,-4.394286767443916
read → epoll_pwait,0,300,-4.391927384196536
epoll_pwait → clock_nanosleep,0,300,-4.391927384196536
epoll_ctl → epoll_ctl,0,297,-4.384801671020881
munmap → write,0,292,-4.3727636955818365
poll → connect,0,290,-4.36789058350725
newfstatat → connect,554,844,-4.360987259708421
clock_nanosleep → rt_sigaction,0,277,-4.335370245025803
readlink → access,0,272,-4.322453469700783
ioctl → poll,0,265,-4.303964577383468
pidfd_open → clock_nanosleep,0,258,-4.2849797487853944
close → madvise,0,255,-4.276684883920558
sched_getaffinity → sched_setaffinity,0,253,-4.2711004745730445
sched_setaffinity → sched_getaffinity,0,252,-4.26829166102204
newfstatat → recvmsg,0,250,-4.2626403740859145
epoll_wait → epoll_wait,0,246,-4.251200617581852
mprotect → madvise,0,243,-4.242497816306892
close → munmap,0,242,-4.239572942307509
close → linkat,0,241,-4.236635932837737
rseq → clone,0,241,-4.236635932837737
munmap → chroot,0,236,-4.221765271260445
close → pipe,0,232,-4.209639647018933
recvfrom → getsockname,0,228,-4.197302699998954
dup2 → poll,0,219,-4.168732453729786
readlink → newfstatat,0,218,-4.165485621835253
kill → brk,0,216,-4.1589469419091785
chroot → getpid,0,212,-4.145685574021967
exit → clock_nanosleep,0,212,-4.145685574021967
rt_sigprocmask → rt_sigaction,0,207,-4.1287517285879565
newfstatat → munmap,0,205,-4.121863132615744
lseek → copy_file_range,0,204,-4.118393536941611
clock_nanosleep → madvise,0,204,-4.118393536941611
getpid → rt_sigreturn,0,204,-4.118393536941611
ftruncate → lseek,0,204,-4.118393536941611
timer_delete → write,0,203,-4.1149068548928085
timer_settime → timer_delete,0,200,-4.104342587727321
rt_sigprocmask → execve,0,197,-4.09361830484206
close → futex,0,196,-4.090007141158628
geteuid → getegid,0,189,-4.06419977487807
alarm → fcntl,0,188,-4.0604350076519315
write → munmap,0,188,-4.0604350076519315
clock_adjtime → clock_adjtime,0,187,-4.056650116922201
madvise → write,0,187,-4.056650116922201
rt_sigreturn → brk,0,186,-4.052844886553618
munmap → getuid,0,184,-4.045172524786872
fcntl → dup2,0,184,-4.045172524786872
fcntl → newfstatat,0,183,-4.041304943316372
rt_sigaction → brk,0,182,-4.0374161219042355
getpid → rt_sigaction,0,180,-4.029573817708642
ioctl → setsockopt,57,130,-4.026090485925456
rt_sigaction → pread64,0,179,-4.025619854314513
rt_sigaction → geteuid,0,179,-4.025619854314513
getgid → getpid,0,178,-4.021643689581021
getegid → rt_sigaction,0,178,-4.021643689581021
accept → rt_sigprocmask,0,175,-4.009579460491822
madvise → clock_nanosleep,0,172,-3.997306138652093
set_robust_list → brk,0,170,-3.9890041378765027
clock_nanosleep → clock_gettime,0,170,-3.9890041378765027
write → exit,0,170,-3.9890041378765027
clock_adjtime → clock_nanosleep,0,170,-3.9890041378765027
brk → getppid,0,169,-3.9848163539016044
geteuid → brk,0,168,-3.980603659032236
getppid → getcwd,0,167,-3.97636575536289
set_robust_list → accept,0,166,-3.972102339614861
exit_group → getpid,0,166,-3.972102339614861
clock_nanosleep → clock_adjtime,0,165,-3.967813103006305
ioctl → rt_sigaction,0,162,-3.9547872948111817
sysinfo → prlimit64,0,162,-3.9547872948111817
mprotect → rseq,0,161,-3.9503915721056764
rt_sigprocmask → openat,0,159,-3.941517425483525
clock_nanosleep → pidfd_send_signal,0,156,-3.9279941821210853
alarm → clock_nanosleep,0,156,-3.9279941821210853
exit → close,0,154,-3.9188330796488913
execve → munmap,0,154,-3.9188330796488913
exit_group → poll,0,154,-3.9188330796488913
lseek → ftruncate,0,153,-3.9142077087130227
mmap → lseek,0,152,-3.909551934962583
clock_nanosleep → exit,0,151,-3.9048653564208173
mq_timedreceive → mq_timedreceive,0,149,-3.895398136738897
write → getpid,79,162,-3.8914004529299007
pread64 → fcntl,0,145,-3.8760754355948994
getsockname → recvfrom,0,144,-3.871161266449931
close → rt_sigprocmask,0,144,-3.871161266449931
rt_sigreturn → getpid,0,144,-3.871161266449931
mprotect → openat,0,143,-3.8662127689753913
clock_gettime → clock_nanosleep,0,143,-3.8662127689753913
rt_sigreturn → clock_nanosleep,0,142,-3.861229460633934
getcwd → geteuid,0,140,-3.85115642971032
clone → munmap,0,133,-3.8147282681786185
clock_nanosleep → rt_sigprocmask,0,132,-3.809367905778113
getpid → rt_sigprocmask,0,132,-3.809367905778113
clock_gettime → clock_gettime,0,131,-3.803966679055416
wait4 → arch_prctl,0,131,-3.803966679055416
clone → rseq,0,129,-3.7930391092727205
timer_create → timer_settime,0,129,-3.7930391092727205
clock_nanosleep → rt_sigreturn,0,128,-3.787511467720255
munmap → set_robust_list,0,128,-3.787511467720255
unlinkat → close,0,128,-3.787511467720255
rt_sigreturn → tgkill,0,127,-3.781940363937315
exit → socket,0,124,-3.764959314734616
copy_file_range → lseek,0,124,-3.764959314734616
rt_sigaction → mmap,0,123,-3.7592073131068973
rt_sigprocmask → brk,0,122,-3.753408238407733
linkat → close,0,121,-3.7475613146501483
poll → madvise,0,121,-3.7475613146501483
poll → recvmsg,0,121,-3.7475613146501483
exit_group → alarm,0,121,-3.7475613146501483
linkat → unlinkat,0,120,-3.741665746514127
munmap → newfstatat,0,119,-3.735720718699369
msgctl → msgctl,0,117,-3.7236789188551507
madvise → read,0,117,-3.7236789188551507
pread64 → lseek,0,116,-3.717580410107933
rseq → mprotect,0,116,-3.717580410107933
read → exit,0,114,-3.705223662858826
openat → uname,0,112,-3.6926476465132834
exit → openat,0,111,-3.686274956258144
write → set_robust_list,0,110,-3.679844448015838
unlink → creat,0,110,-3.679844448015838
prlimit64 → sysinfo,0,108,-3.6668057184398664
creat → writev,0,108,-3.6668057184398664
tgkill → write,0,108,-3.6668057184398664
exit_group → rt_sigaction,0,108,-3.6668057184398664
write → timer_create,0,108,-3.6668057184398664
newfstatat → sendmmsg,0,108,-3.6668057184398664
poll → bind,0,107,-3.6601952933161694
clock_nanosleep → set_robust_list,0,107,-3.6601952933161694
rseq → rseq,0,105,-3.646786578457767
rt_sigtimedwait → rt_sigprocmask,0,105,-3.646786578457767
dup2 → fcntl,0,103,-3.6331193316711077
exit → setsockopt,0,103,-3.6331193316711077
rt_sigprocmask → rt_sigtimedwait,0,100,-3.612111340461684
exit → timer_settime,0,100,-3.612111340461684
stat → stat,0,99,-3.604968023318002
exit_group → clone3,0,99,-3.604968023318002
timer_create → madvise,0,99,-3.604968023318002
brk → ioctl,16,54,-3.603419538379587
futex → timer_create,0,98,-3.597752000523519
readlink → brk,0,98,-3.597752000523519
getsockname → setsockopt,0,98,-3.597752000523519
munmap → madvise,0,97,-3.590461778874834
epoll_wait → rt_sigprocmask,0,96,-3.5830958187341264
madvise → socket,0,94,-3.5681302804859456
socket → exit,0,93,-3.5605273729135236
openat → rt_sigprocmask,0,92,-3.552842063490366
recvmsg → poll,0,91,-3.5450725490881907
arch_prctl → futex,0,91,-3.5450725490881907
clone3 → close_range,0,91,-3.5450725490881907
futex → arch_prctl,0,89,-3.529273391264751
rt_sigreturn → arch_prctl,0,89,-3.529273391264751
close_range → wait4,0,89,-3.529273391264751
madvise → munmap,0,89,-3.529273391264751
write → openat2,0,88,-3.521239831857235
madvise → close,0,88,-3.521239831857235
arch_prctl → rt_sigreturn,0,88,-3.521239831857235
write → mmap,182,304,-3.520890350964716
arch_prctl → brk,0,86,-3.504894454493991
read → accept,0,86,-3.504894454493991
close → stat,0,86,-3.504894454493991
execve → arch_prctl,0,85,-3.4965783012212435
getppid → read,0,85,-3.4965783012212435
close → link,0,85,-3.4965783012212435
link → unlink,0,85,-3.4965783012212435
unlink → rename,0,85,-3.4965783012212435
arch_prctl → uname,0,85,-3.4965783012212435
rt_sigreturn → close,0,84,-3.48816348656798
openat2 → write,0,84,-3.48816348656798
close → exit,0,84,-3.48816348656798
sched_getaffinity → madvise,0,84,-3.48816348656798
rseq → exit,0,82,-3.4710283257797725
lseek → brk,0,82,-3.4710283257797725
mmap → close,8576,10818,-3.453933123117782
copy_file_range → pread64,0,80,-3.4534689918983204
poll → exit,0,79,-3.4445236054960433
futex → newfstatat,0,79,-3.4445236054960433
readlink → faccessat2,0,79,-3.4445236054960433
read → mmap,0,79,-3.4445236054960433
mprotect → munmap,2994,3905,-3.429532290767628
read → madvise,0,76,-3.4169901396860416
futex → close,0,76,-3.4169901396860416
set_robust_list → write,0,76,-3.4169901396860416
madvise → poll,0,76,-3.4169901396860416
unshare → sethostname,0,75,-3.407569656911152
epoll_wait → set_robust_list,0,75,-3.407569656911152
sched_setaffinity → madvise,0,75,-3.407569656911152
uname → readlink,0,73,-3.3883449874731055
futex → sched_getaffinity,0,73,-3.3883449874731055
futex → socket,0,72,-3.378533755968429
connect → bind,15,49,-3.3628793742144625
getuid → geteuid,0,70,-3.3584947685570423
rt_sigaction → exit_group,0,69,-3.34825903693143
prlimit64 → readlink,0,68,-3.3378735391242507
sched_getaffinity → write,0,68,-3.3378735391242507
mmap → read,0,68,-3.3378735391242507
rt_sigaction → pipe,0,68,-3.3378735391242507
mremap → openat,0,67,-3.3273338361971727
futex → chroot,0,65,-3.305773046808097
rt_sigprocmask → wait4,0,65,-3.305773046808097
access → readlink,0,64,-3.294742032532085
futex → sched_setaffinity,0,64,-3.294742032532085
sched_setaffinity → pread64,0,64,-3.294742032532085
pread64 → sched_setaffinity,0,64,-3.294742032532085
rename → unlink,0,64,-3.294742032532085
rseq → madvise,0,63,-3.283536930210569
settimeofday → settimeofday,0,63,-3.283536930210569
epoll_wait → madvise,0,63,-3.283536930210569
ftruncate → write,0,63,-3.283536930210569
unlink → futex,0,63,-3.283536930210569
mprotect → newfstatat,0,63,-3.283536930210569
lseek → openat,0,62,-3.272152168887862
bind → poll,0,62,-3.272152168887862
clone → epoll_wait,0,62,-3.272152168887862
sendmmsg → newfstatat,0,61,-3.2605819062465944
faccessat2 → readlink,0,61,-3.2605819062465944
